,collection_date,lineage,abundance
493,2023-09-18,BA.2.12.X,0.0
494,2024-07-08,BA.2.12.X,0.0
495,2024-12-05,BA.2.12.X,0.0
496,2024-04-18,BA.2.12.X,0.0
497,2023-10-16,BA.2.12.X,0.0
498,2023-08-21,BA.2.12.X,0.0
499,2024-05-13,BA.2.12.X,0.0
500,2024-04-15,BA.2.12.X,0.0
501,2024-05-16,BA.2.12.X,0.0
502,2023-10-30,BA.2.12.X,0.0
503,2024-11-14,BA.2.12.X,0.0
504,2023-09-28,BA.2.12.X,0.0
505,2024-12-09,BA.2.12.X,0.0
506,2024-02-15,BA.2.12.X,0.0
507,2024-09-30,BA.2.12.X,0.0
508,2023-10-26,BA.2.12.X,0.0
509,2024-08-12,BA.2.12.X,0.0
510,2023-10-19,BA.4.X,0.0
511,2023-10-02,BA.4.X,0.0
512,2024-04-11,BA.4.X,0.0
513,2024-12-02,BA.4.X,0.0
514,2024-07-04,BA.4.X,0.0
515,2024-06-27,BA.4.X,0.0
516,2024-05-20,BA.4.X,0.0
517,2023-05-10,BA.4.X,4.034e-05
518,2023-09-21,BA.4.X,0.0
519,2024-04-04,BA.4.X,0.0
520,2024-11-11,BA.4.X,2.3e-07
521,2024-10-24,BA.4.X,0.0
522,2024-08-26,BA.4.X,0.0
523,2023-09-18,BA.4.X,0.0
524,2024-07-08,BA.4.X,0.0
525,2024-12-05,BA.4.X,0.0
526,2024-04-18,BA.4.X,0.0
527,2023-10-16,BA.4.X,0.0
528,2023-08-21,BA.4.X,0.0
529,2024-05-13,BA.4.X,0.0
530,2024-04-15,BA.4.X,0.0
531,2024-05-16,BA.4.X,0.0
532,2023-10-30,BA.4.X,0.0
533,2024-11-14,BA.4.X,0.0
534,2023-09-28,BA.4.X,0.0002164
535,2024-12-09,BA.4.X,0.0
536,2024-02-15,BA.4.X,0.0
537,2024-09-30,BA.4.X,0.0
538,2023-10-26,BA.4.X,0.0
539,2024-08-12,BA.4.X,0.0
540,2023-10-19,BA.1.X,0.0
541,2023-10-02,BA.1.X,0.0
542,2024-04-11,BA.1.X,0.0
543,2024-12-02,BA.1.X,0.0
544,2024-07-04,BA.1.X,0.0
545,2024-06-27,BA.1.X,0.0
546,2024-05-20,BA.1.X,0.0
547,2023-05-10,BA.1.X,0.0
548,2023-09-21,BA.1.X,0.0
549,2024-04-04,BA.1.X,0.0
550,2024-11-11,BA.1.X,3.2599999999999997e-06
551,2024-10-24,BA.1.X,0.0
552,2024-08-26,BA.1.X,0.0
553,2023-09-18,BA.1.X,0.0
554,2024-07-08,BA.1.X,0.0
555,2024-12-05,BA.1.X,0.0
556,2024-04-18,BA.1.X,0.0
557,2023-10-16,BA.1.X,0.0
558,2023-08-21,BA.1.X,0.0
559,2024-05-13,BA.1.X,0.0
560,2024-04-15,BA.1.X,0.0
561,2024-05-16,BA.1.X,0.0
562,2023-10-30,BA.1.X,0.0
563,2024-11-14,BA.1.X,0.0
564,2023-09-28,BA.1.X,0.0
565,2024-12-09,BA.1.X,0.0
566,2024-02-15,BA.1.X,0.0
567,2024-09-30,BA.1.X,0.0
568,2023-10-26,BA.1.X,0.0
569,2024-08-12,BA.1.X,0.0
